.threshold,recall,precision
Inf,0,1
0.7523640841245651,0.005376344086021506,0.5
0.7475229799747467,0.010752688172043012,0.15384615384615385
0.7446921765804291,0.016129032258064516,0.1875
0.7436946630477905,0.016129032258064516,0.16666666666666666
0.7373191714286804,0.016129032258064516,0.15789473684210525
0.7366165816783905,0.016129032258064516,0.13043478260869565
0.7322435975074768,0.016129032258064516,0.125
0.731577455997467,0.03225806451612903,0.1276595744680851
0.7289005219936371,0.03225806451612903,0.12
0.7260800302028656,0.03225806451612903,0.11764705882352941
0.7259374260902405,0.03225806451612903,0.11538461538461539
0.725481241941452,0.03225806451612903,0.11320754716981132
0.723859041929245,0.03225806451612903,0.1111111111111111
0.7215982377529144,0.03225806451612903,0.10909090909090909
0.7215929329395294,0.03225806451612903,0.10714285714285714
0.7193430662155151,0.03763440860215054,0.11290322580645161
0.7183116674423218,0.03763440860215054,0.109375
0.7182435691356659,0.03763440860215054,0.1044776119402985
0.7167169153690338,0.04838709677419355,0.1232876712328767
0.7152094841003418,0.04838709677419355,0.12162162162162163
0.7122315168380737,0.053763440860215055,0.13157894736842105
0.7088418006896973,0.053763440860215055,0.1282051282051282
0.7077572643756866,0.05913978494623656,0.13414634146341464
0.701187938451767,0.08064516129032258,0.16304347826086957
0.6991339027881622,0.08064516129032258,0.16129032258064516
0.6948899626731873,0.08064516129032258,0.1595744680851064
0.6943769454956055,0.08064516129032258,0.15789473684210525
0.6938069462776184,0.08064516129032258,0.15463917525773196
0.6937827169895172,0.08064516129032258,0.15
0.6921329200267792,0.08602150537634409,0.15841584158415842
0.6863521039485931,0.08602150537634409,0.1415929203539823
0.6832516193389893,0.08602150537634409,0.14035087719298245
0.6803591549396515,0.08602150537634409,0.1391304347826087
0.6763694882392883,0.08602150537634409,0.13793103448275862
0.6756599843502045,0.08602150537634409,0.13675213675213677
0.6739394664764404,0.08602150537634409,0.13445378151260504
0.6714047491550446,0.08602150537634409,0.13333333333333333
0.670807957649231,0.08602150537634409,0.13114754098360656
0.6703274846076965,0.08602150537634409,0.13008130081300814
0.6696800589561462,0.0913978494623656,0.13178294573643412
0.6679372787475586,0.0967741935483871,0.13636363636363635
0.667542964220047,0.0967741935483871,0.13432835820895522
0.6646144092082977,0.0967741935483871,0.13333333333333333
0.6621727645397186,0.10752688172043011,0.14084507042253522
0.6619214117527008,0.10752688172043011,0.13986013986013987
0.6603816747665405,0.11290322580645161,0.14583333333333334
0.6596586406230927,0.11290322580645161,0.14482758620689656
0.6596144735813141,0.11290322580645161,0.14285714285714285
0.6518070995807648,0.11827956989247312,0.14864864864864866
0.651793897151947,0.11827956989247312,0.1476510067114094
0.6455474197864532,0.12365591397849462,0.1503267973856209
0.6446041762828827,0.12365591397849462,0.14935064935064934
