config_id,model,strategy,f_meas,recall,roc_auc
xgboost__smote,xgboost,smote,0.14285714285714285,0.4435374149659864,0.8090242415369532
xgboost__none,xgboost,none,0.1446360153256705,0.2054421768707483,0.807332226553824
logistic_regression__none,logistic_regression,none,0.14849921011058453,0.19183673469387755,0.7968663562178298
logistic_regression__smote,logistic_regression,smote,0.13583871599138775,0.47210884353741495,0.794319074084154
random_forest__smote,random_forest,smote,0.1383422778771616,0.47346938775510206,0.7936336559823967
random_forest__none,random_forest,none,0.1419193497968115,0.308843537414966,0.792366146311371
decision_tree__smote,decision_tree,smote,0.1404204680682269,0.4816326530612245,0.7673938940056847
decision_tree__none,decision_tree,none,0.03269427516569547,1,0.4712172885341021
