comparison_role,config_id,model,model_variant,threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,lift_top_10,claims_captured_top_10,claims_captured_top_20,predicted_positive,false_positives,false_negatives,true_positives,true_negatives
current_champion,xgboost__none_current,xgboost,xgboost_none_current,0.08,0.9503481957131229,0.11464968152866242,0.2903225806451613,0.1643835616438356,0.8302608894335625,0.10150588515700701,5.374885764840848,0.5376344086021505,0.7043010752688172,471,417,132,54,10454
best_tuned,xgboost_weighted_6,xgboost,xgboost_weighted,0.01,0.9830876367911731,0.42857142857142855,0.016129032258064516,0.031088082901554404,0.8287678177018268,0.09557827351953888,5.3211369071924395,0.532258064516129,0.6935483870967742,7,4,183,3,10867
