threshold_type,config_id,model,strategy,threshold,accuracy,precision,recall,f1_score,positives_predicted,positive_prediction_rate,false_positives,false_negatives,true_positives,true_negatives
statistical_f1_max,xgboost__smote,xgboost,smote,0.34,0.8846884326670887,0.08466819221967964,0.5967741935483871,0.14829659318637275,1311,0.11856742335172289,1200,75,111,9671
business_recall_min_50,xgboost__smote,xgboost,smote,0.39,0.8963552500678303,0.0847750865051903,0.5268817204301075,0.14605067064083457,1156,0.10454915438183957,1058,88,98,9813
