seed,train_prop,model,strategy,over_ratio,threshold,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
1,0.05,xgboost,none,NA,0.08,2764,52520,0.014109985528219971,0.016793602437166794,0.9638994668697639,0.08442622950819673,0.11678004535147392,0.09800190294957184,0.7496624855449752,0.06320486853730005,1220,1117,779,103,50521,1
1,0.05,xgboost,smote_03,0.03,0.15000000000000002,2764,52520,0.014109985528219971,0.016793602437166794,0.966984006092917,0.011467889908256881,0.011337868480725623,0.011402508551881414,0.5802406254986857,0.02634665486704847,872,862,872,10,50776,2
1,0.05,xgboost,smote_02,0.02,0.09,2764,52520,0.014109985528219971,0.016793602437166794,0.9283320639756283,0.017737617135207495,0.060090702947845805,0.027390180878552974,0.5442250095488574,0.019810029958573692,2988,2935,829,53,48703,3
1,0.05,xgboost,smote_05,0.05,0.12,2764,52520,0.014109985528219971,0.016793602437166794,0.9591774562071592,0.023413897280966767,0.035147392290249435,0.028105167724388033,0.5191303092108424,0.01914947443385755,1324,1293,851,31,50345,4
1,0.05,xgboost,smote_30,0.3,0.3,2764,52520,0.014109985528219971,0.016793602437166794,0.33798552932216297,0.0178424063060243,0.7108843537414966,0.034811092912861226,0.4949492274800879,0.2506539328913044,35141,34514,255,627,17124,5
1,0.05,xgboost,smote_08,0.087,0.12,2764,52520,0.014109985528219971,0.016793602437166794,0.834920030464585,0.012762762762762763,0.11564625850340136,0.022988505747126436,0.48835521336876925,0.016005839391768903,7992,7890,780,102,43748,6
1,0.05,xgboost,smote_20,0.25,0.43,2764,52520,0.014109985528219971,0.016793602437166794,0.33804265041888804,0.01754186125982458,0.6984126984126984,0.03422412356242013,0.48270315265551333,0.10211018765007056,35116,34500,266,616,17138,7
1,0.05,xgboost,smote_15,0.176,0.3,2764,52520,0.014109985528219971,0.016793602437166794,0.7934691546077685,0.013285142131483834,0.15419501133786848,0.024462631531612558,0.47482423647125166,0.09138540082846572,10237,10101,746,136,41537,8
1,0.05,xgboost,smote_10,0.111,0.23,2764,52520,0.014109985528219971,0.016793602437166794,0.8405750190403656,0.012495119094103866,0.10884353741496598,0.022416812609457094,0.41704124359892814,0.031820218301195774,7683,7587,786,96,44051,9
2,0.05,xgboost,none,NA,0.06999999999999999,2764,52520,0.014109985528219971,0.016793602437166794,0.9467250571210968,0.09949832775919733,0.2698412698412698,0.14538790470372634,0.7435681122701479,0.06429884449462787,2392,2154,644,238,49484,1
2,0.05,xgboost,smote_15,0.176,0.2,2764,52520,0.014109985528219971,0.016793602437166794,0.9420220868240671,0.014804845222072678,0.03741496598639456,0.021215043394406944,0.540036664187345,0.02234552480859164,2229,2196,849,33,49442,2
2,0.05,xgboost,smote_20,0.25,0.46,2764,52520,0.014109985528219971,0.016793602437166794,0.5456778370144707,0.019287895903937074,0.5226757369614512,0.037202921357382075,0.5371838305018742,0.028589559829235736,23901,23440,421,461,28198,3
2,0.05,xgboost,smote_02,0.02,0.12,2764,52520,0.014109985528219971,0.016793602437166794,0.8105293221629856,0.01980302869850683,0.21201814058956917,0.0362227602905569,0.520260154877242,0.018093936918030448,9443,9256,695,187,42382,4
2,0.05,xgboost,smote_10,0.111,0.17,2764,52520,0.014109985528219971,0.016793602437166794,0.6458682406702209,0.017274262982943708,0.35941043083900226,0.032964176155565954,0.5155861878686432,0.016817605952919406,18351,18034,565,317,33604,5
2,0.05,xgboost,smote_03,0.03,0.09,2764,52520,0.014109985528219971,0.016793602437166794,0.6378712871287129,0.021577420205750462,0.463718820861678,0.04123607400312547,0.5069151819938893,0.022323327612257967,18955,18546,473,409,33092,6
2,0.05,xgboost,smote_30,0.3,0.49,2764,52520,0.014109985528219971,0.016793602437166794,0.6576161462300076,0.016019472432921997,0.32086167800453513,0.030515419452232045,0.4859892089347972,0.018525072558940637,17666,17383,599,283,34255,7
2,0.05,xgboost,smote_05,0.05,0.14,2764,52520,0.014109985528219971,0.016793602437166794,0.6635567402894136,0.015134011090573014,0.29705215419501135,0.028800703528635816,0.4694993597061841,0.015857169423190102,17312,17050,620,262,34588,8
2,0.05,xgboost,smote_08,0.087,0.19,2764,52520,0.014109985528219971,0.016793602437166794,0.9572353389185072,0.010760401721664276,0.017006802721088437,0.01318101933216169,0.43999330240636475,0.02168367847119361,1394,1379,867,15,50259,9
3,0.05,xgboost,none,NA,0.09999999999999999,2764,52520,0.01808972503617945,0.016584158415841585,0.9617288651942117,0.08761766835626358,0.13892078071182548,0.10746003552397869,0.7362901697204163,0.06384646516609906,1381,1260,750,121,50389,1
3,0.05,xgboost,smote_05,0.05,0.21000000000000002,2764,52520,0.01808972503617945,0.016584158415841585,0.9225057121096725,0.034623217922606926,0.13662456946039037,0.0552460538532962,0.597666590739812,0.024689530197354842,3437,3318,752,119,48331,2
3,0.05,xgboost,smote_08,0.087,0.22,2764,52520,0.01808972503617945,0.016584158415841585,0.9690784463061691,0.04141291108404385,0.03903559127439724,0.04018912529550828,0.5966927160168104,0.03271676380279879,821,787,837,34,50862,3
3,0.05,xgboost,smote_10,0.111,0.22,2764,52520,0.01808972503617945,0.016584158415841585,0.8996572734196496,0.033905488450942996,0.18369690011481057,0.057245080500894455,0.5960701150677521,0.05672403942800654,4719,4559,711,160,47090,4
3,0.05,xgboost,smote_20,0.25,0.38,2764,52520,0.01808972503617945,0.016584158415841585,0.8681454683929931,0.03026070763500931,0.22388059701492538,0.0533151059466849,0.5918057703772299,0.022340961385822845,6444,6249,676,195,45400,5
3,0.05,xgboost,smote_15,0.176,0.15000000000000002,2764,52520,0.01808972503617945,0.016584158415841585,0.9102817974105103,0.029865361077111383,0.14006888633754305,0.04923325262308314,0.5846621366483767,0.024308268096863973,4085,3963,749,122,47686,6
3,0.05,xgboost,smote_30,0.3,0.43,2764,52520,0.01808972503617945,0.016584158415841585,0.04908606245239908,0.016684723726977248,0.9724454649827784,0.03280656906034549,0.5838366182719846,0.07207301204969838,50765,49918,24,847,1731,7
3,0.05,xgboost,smote_02,0.02,0.12,2764,52520,0.01808972503617945,0.016584158415841585,0.9009520182787509,0.03218837761935623,0.17106773823191734,0.05418181818181818,0.5821857704657013,0.0538279526964388,4629,4480,722,149,47169,8
3,0.05,xgboost,smote_03,0.03,0.06999999999999999,2764,52520,0.01808972503617945,0.016584158415841585,0.4904036557501904,0.018198057385285252,0.5614236509758898,0.03525340638742701,0.47708612441584686,0.016789873398956722,26871,26382,382,489,25267,9
4,0.05,xgboost,none,NA,0.09,2764,52520,0.01772793053545586,0.016603198781416605,0.959006092916984,0.06517311608961303,0.11009174311926606,0.08187633262260129,0.7570876302394188,0.0589839628158633,1473,1377,776,96,50271,1
4,0.05,xgboost,smote_30,0.3,0.11,2764,52520,0.01772793053545586,0.016603198781416605,0.8337776085300838,0.031704410011918954,0.30504587155963303,0.05743899805657527,0.5739090938803815,0.03307235914271061,8390,8124,606,266,43524,2
4,0.05,xgboost,smote_02,0.02,0.08,2764,52520,0.01772793053545586,0.016603198781416605,0.934082254379284,0.014253563390847712,0.04357798165137615,0.02148106274731487,0.5628947638140468,0.024104132346628553,2666,2628,834,38,49020,3
4,0.05,xgboost,smote_05,0.05,0.17,2764,52520,0.01772793053545586,0.016603198781416605,0.9659748667174409,0.04658077304261645,0.05389908256880734,0.049973418394471024,0.5518030863296215,0.04170793975659928,1009,962,825,47,50686,4
4,0.05,xgboost,smote_15,0.176,0.29000000000000004,2764,52520,0.01772793053545586,0.016603198781416605,0.8383282559025134,0.020877876996604202,0.19036697247706422,0.037628924402130795,0.5513668455593546,0.023120262505465332,7951,7785,706,166,43863,5
4,0.05,xgboost,smote_10,0.111,0.3,2764,52520,0.01772793053545586,0.016603198781416605,0.8019611576542269,0.026344567054379164,0.3038990825688073,0.04848595736895069,0.548778887767442,0.027075444188508276,10059,9794,607,265,41854,6
4,0.05,xgboost,smote_08,0.087,0.36000000000000004,2764,52520,0.01772793053545586,0.016603198781416605,0.9484386900228484,0.02336448598130841,0.051605504587155966,0.032165832737669764,0.5428262229218536,0.027359426974594772,1926,1881,827,45,49767,7
4,0.05,xgboost,smote_03,0.03,0.15000000000000002,2764,52520,0.01772793053545586,0.016603198781416605,0.9208682406702209,0.02488425925925926,0.09862385321100918,0.03974121996303143,0.5403305446963496,0.03519473545207838,3456,3370,786,86,48278,8
4,0.05,xgboost,smote_20,0.25,0.060000000000000005,2764,52520,0.01772793053545586,0.016603198781416605,0.8725247524752475,0.023719941109111728,0.16628440366972477,0.041517537580529715,0.5287186400460989,0.02209409200550216,6113,5968,727,145,45680,9
5,0.05,xgboost,none,NA,0.09,2764,52520,0.019536903039073805,0.016507996953541507,0.9506283320639757,0.057889344262295084,0.1303344867358708,0.08017027314650585,0.7329778000659222,0.04917382027530779,1952,1839,754,113,49814,1
5,0.05,xgboost,smote_02,0.02,0.09,2764,52520,0.019536903039073805,0.016507996953541507,0.9506283320639757,0.057889344262295084,0.1303344867358708,0.08017027314650585,0.7329778000659222,0.04917382027530779,1952,1839,754,113,49814,2
5,0.05,xgboost,smote_15,0.176,0.26,2764,52520,0.019536903039073805,0.016507996953541507,0.8313785224676313,0.0161114476075106,0.15340253748558247,0.0291602718702039,0.5048842699791267,0.01861174976113362,8255,8122,734,133,43531,3
5,0.05,xgboost,smote_08,0.087,0.25,2764,52520,0.019536903039073805,0.016507996953541507,0.7808073115003809,0.013527099899460744,0.1707035755478662,0.025067750677506773,0.49565664774236184,0.0456337024369241,10941,10793,719,148,40860,4
5,0.05,xgboost,smote_05,0.05,0.25,2764,52520,0.019536903039073805,0.016507996953541507,0.9462490479817213,0.02753623188405797,0.0657439446366782,0.038815117466802856,0.4684793952975752,0.027353671498241784,2070,2013,810,57,49640,5
5,0.05,xgboost,smote_20,0.25,0.49,2764,52520,0.019536903039073805,0.016507996953541507,0.06662223914699163,0.016234679525818765,0.9319492502883506,0.03191342299109347,0.4678089869111711,0.031407835190567814,49770,48962,59,808,2691,6
5,0.05,xgboost,smote_10,0.111,0.31,2764,52520,0.019536903039073805,0.016507996953541507,0.9773229246001524,0.029069767441860465,0.011534025374855825,0.016515276630883566,0.46186851613009544,0.02090670945099527,344,334,857,10,51319,7
5,0.05,xgboost,smote_03,0.03,0.14,2764,52520,0.019536903039073805,0.016507996953541507,0.7503617669459254,0.015204307887234716,0.22145328719723184,0.02845498332715821,0.43983204754841837,0.03459278066911741,12628,12436,675,192,39217,8
5,0.05,xgboost,smote_30,0.3,0.48000000000000004,2764,52520,0.019536903039073805,0.016507996953541507,0.020392231530845392,0.016331994645247656,0.9850057670126874,0.032131233892055605,0.4387771195465902,0.01591204942719731,52290,51436,13,854,217,9
6,0.05,xgboost,none,NA,0.05,2764,52520,0.01447178002894356,0.016774562071591774,0.9094440213252094,0.06992230854605994,0.35754824063564133,0.116969922020052,0.741249184314779,0.053613679423736876,4505,4190,566,315,47449,1
6,0.05,xgboost,smote_10,0.111,0.16,2764,52520,0.01447178002894356,0.016774562071591774,0.973914699162224,0.06104129263913824,0.03859250851305335,0.047287899860917935,0.6065050636722998,0.03471238467433406,557,523,847,34,51116,2
6,0.05,xgboost,smote_15,0.176,0.2,2764,52520,0.01447178002894356,0.016774562071591774,0.9744287890327494,0.06741573033707865,0.04086265607264472,0.05088339222614841,0.5968107106264372,0.027077946854005754,534,498,845,36,51141,3
6,0.05,xgboost,smote_05,0.05,0.2,2764,52520,0.01447178002894356,0.016774562071591774,0.9368811881188119,0.024609375,0.07150964812712826,0.036617262423714034,0.5748853380731275,0.02224058111136073,2560,2497,818,63,49142,4
6,0.05,xgboost,smote_08,0.087,0.15000000000000002,2764,52520,0.01447178002894356,0.016774562071591774,0.955997715156131,0.0214190093708166,0.036322360953461974,0.026947368421052626,0.5604990214195251,0.03057587284566715,1494,1462,849,32,50177,5
6,0.05,xgboost,smote_03,0.03,0.17,2764,52520,0.01447178002894356,0.016774562071591774,0.9649086062452399,0.024703557312252964,0.028376844494892167,0.02641310089804543,0.5433294011629105,0.01916207467882803,1012,987,856,25,50652,6
6,0.05,xgboost,smote_20,0.25,0.39,2764,52520,0.01447178002894356,0.016774562071591774,0.9522086824067022,0.04522613065326633,0.09194097616345062,0.06062874251497006,0.5171195476744506,0.023477799700899613,1791,1710,800,81,49929,7
6,0.05,xgboost,smote_02,0.02,0.08,2764,52520,0.01447178002894356,0.016774562071591774,0.6055597867479056,0.0164318104246916,0.38251986379114644,0.03151005142589995,0.46279403821505183,0.18224293351252643,20509,20172,544,337,31467,8
6,0.05,xgboost,smote_30,0.3,0.01,2764,52520,0.01447178002894356,0.016774562071591774,0.016774562071591774,0.016774562071591774,1,0.03299563678582798,0.4440116214110977,0.02074411211990711,52520,51639,0,881,0,9
7,0.05,xgboost,none,NA,0.08,2764,52520,0.014833574529667149,0.016755521706016754,0.9673076923076923,0.10704225352112676,0.12954545454545455,0.11722365038560412,0.7445688463840574,0.08087844044426272,1065,951,766,114,50689,1
7,0.05,xgboost,smote_02,0.02,0.08,2764,52520,0.014833574529667149,0.016755521706016754,0.915993907083016,0.020889853499728703,0.0875,0.0337275514673675,0.4946135065312302,0.03705768075907607,3686,3609,803,77,48031,2
7,0.05,xgboost,smote_30,0.3,0.5,2764,52520,0.014833574529667149,0.016755521706016754,0.06643183549124143,0.016643578469754464,0.9420454545454545,0.032709266310244824,0.487232094130695,0.027597266659674637,49809,48980,51,829,2660,3
7,0.05,xgboost,smote_08,0.087,0.09,2764,52520,0.014833574529667149,0.016755521706016754,0.9672886519421173,0.016166281755196306,0.015909090909090907,0.016036655211912942,0.464191155112316,0.015390717119811778,866,852,866,14,50788,4
7,0.05,xgboost,smote_15,0.176,0.33,2764,52520,0.014833574529667149,0.016755521706016754,0.9524942878903275,0.012084592145015106,0.022727272727272728,0.015779092702169623,0.4609841956552356,0.01748849230353656,1655,1635,860,20,50005,5
7,0.05,xgboost,smote_03,0.03,0.060000000000000005,2764,52520,0.014833574529667149,0.016755521706016754,0.16837395277989337,0.015750526149041617,0.7909090909090909,0.03088597483858084,0.4464773277410041,0.03606951015318722,44189,43493,184,696,8147,6
7,0.05,xgboost,smote_05,0.05,0.01,2764,52520,0.014833574529667149,0.016755521706016754,0.016755521706016754,0.016755521706016754,1,0.03295880149812734,0.41964693287444543,0.049892262557732346,52520,51640,0,880,0,7
7,0.05,xgboost,smote_10,0.111,0.16,2764,52520,0.014833574529667149,0.016755521706016754,0.9748095963442498,0.008869179600886918,0.004545454545454545,0.0060105184072126215,0.4068784438595873,0.015637712755724897,451,447,876,4,51193,8
7,0.05,xgboost,smote_20,0.25,0.01,2764,52520,0.014833574529667149,0.016755521706016754,0.016755521706016754,0.016755521706016754,1,0.03295880149812734,0.39200619674670795,0.01418834296295523,52520,51640,0,880,0,9
8,0.05,xgboost,none,NA,0.12,2764,52520,0.019536903039073805,0.016507996953541507,0.9663175932977913,0.0936936936936937,0.11995386389850057,0.10520991401112796,0.7478151548558966,0.06015877410662223,1110,1006,763,104,50647,1
8,0.05,xgboost,smote_02,0.02,0.12,2764,52520,0.019536903039073805,0.016507996953541507,0.9663175932977913,0.0936936936936937,0.11995386389850057,0.10520991401112796,0.7478151548558966,0.06015877410662223,1110,1006,763,104,50647,2
8,0.05,xgboost,smote_10,0.111,0.2,2764,52520,0.019536903039073805,0.016507996953541507,0.7338156892612339,0.026913918753156792,0.4302191464821223,0.05065869889990492,0.6072506487986966,0.04768056472762329,13859,13486,494,373,38167,3
8,0.05,xgboost,smote_15,0.176,0.26,2764,52520,0.019536903039073805,0.016507996953541507,0.959025133282559,0.08575112830431979,0.15340253748558247,0.11000827129859386,0.6025333277687406,0.03906499096393015,1551,1418,734,133,50235,4
8,0.05,xgboost,smote_03,0.03,0.09,2764,52520,0.019536903039073805,0.016507996953541507,0.9291317593297791,0.03486477680026067,0.12341407151095732,0.05436991869918699,0.5989812775791502,0.023519855431883677,3069,2962,760,107,48691,5
8,0.05,xgboost,smote_08,0.087,0.18000000000000002,2764,52520,0.019536903039073805,0.016507996953541507,0.8566450875856817,0.029918148461755573,0.24452133794694347,0.05331321513894128,0.5957917967853579,0.03667937056187761,7086,6874,655,212,44779,6
8,0.05,xgboost,smote_30,0.3,0.01,2764,52520,0.019536903039073805,0.016507996953541507,0.016507996953541507,0.016507996953541507,1,0.03247981718395864,0.5923846560060055,0.12385772349717779,52520,51653,0,867,0,7
8,0.05,xgboost,smote_20,0.25,0.26,2764,52520,0.019536903039073805,0.016507996953541507,0.9151561309977152,0.0231198511825671,0.10034602076124567,0.03758099352051836,0.5704185598731094,0.025253574078448075,3763,3676,780,87,47977,8
8,0.05,xgboost,smote_05,0.05,0.09999999999999999,2764,52520,0.019536903039073805,0.016507996953541507,0.7833968012185833,0.02314184590253199,0.29411764705882354,0.042907622412922765,0.5673528198138627,0.1643755785589099,11019,10764,612,255,40889,9
9,0.05,xgboost,none,NA,0.06999999999999999,2764,52520,0.01808972503617945,0.016584158415841585,0.9412795125666413,0.08911994058670628,0.2755453501722158,0.13468013468013468,0.7735213330268992,0.06860507124809516,2693,2453,631,240,49196,1
9,0.05,xgboost,smote_15,0.176,0.13,2764,52520,0.01808972503617945,0.016584158415841585,0.9421553693830922,0.038739889314601955,0.1044776119402985,0.05652173913043478,0.5946459919479004,0.024527554707928004,2349,2258,780,91,49391,2
