config_id,model,strategy,over_ratio,scale_pos_weight,colsample_bytree,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,error,rank
45,xgboost,smote_weighted_50,0.5,50,0.6,NA,100,3,0.03,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",65
46,xgboost,smote_weighted_30,0.3,59.17278911564626,0.8,NA,200,3,0.05,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",66
50,xgboost,smote_weighted_50,0.5,10,0.8,NA,200,4,0.01,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",67
52,xgboost,smote_weighted_50,0.5,5,0.6,NA,200,3,0.05,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",68
55,xgboost,smote_weighted_50,0.5,50,0.6,NA,100,4,0.01,0,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",69
56,xgboost,smote_weighted_50,0.5,10,0.6,NA,200,4,0.05,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",70
57,xgboost,smote_weighted_30,0.3,10,0.6,NA,100,4,0.03,0.5,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",71
59,xgboost,smote_weighted_50,0.5,10,0.6,NA,100,4,0.01,0.5,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",72
60,xgboost,smote_weighted_50,0.5,59.17278911564626,0.8,NA,200,3,0.03,1,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",73
62,xgboost,smote_weighted_30,0.3,10,0.8,NA,100,2,0.05,0.5,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",74
63,xgboost,smote_weighted_50,0.5,1,0.6,NA,200,4,0.05,0,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",75
64,xgboost,smote_weighted_50,0.5,1,0.6,NA,100,4,0.05,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",76
65,xgboost,smote_weighted_30,0.3,10,0.8,NA,200,3,0.01,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",77
67,xgboost,smote_weighted_50,0.5,59.17278911564626,0.6,NA,100,4,0.03,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",78
68,xgboost,smote_weighted_50,0.5,10,0.6,NA,200,4,0.01,0,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",79
69,xgboost,smote_weighted_50,0.5,10,0.6,NA,100,4,0.05,0.5,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",80
70,xgboost,smote_weighted_30,0.3,59.17278911564626,0.8,NA,100,4,0.01,0.5,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",81
71,xgboost,smote_weighted_50,0.5,59.17278911564626,0.8,NA,100,2,0.01,1,25,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",82
72,xgboost,smote_weighted_30,0.3,59.17278911564626,0.8,NA,200,2,0.03,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",83
75,xgboost,smote_weighted_50,0.5,5,0.6,NA,200,2,0.05,0.5,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",84
76,xgboost,smote_weighted_30,0.3,1,0.8,NA,200,4,0.03,1,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",85
77,xgboost,smote_weighted_50,0.5,1,0.6,NA,100,3,0.05,0,10,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",86
