segment,n_observations,n_claims_captured,share_of_total_claims_captured,claim_rate_in_segment,baseline_claim_rate,lift,config_id,model,strategy
top_1_percent,111,16,0.08602150537634409,0.14414414414414414,0.01682192276386,8.568826891407536,xgboost__smote,xgboost,smote
top_5_percent,553,52,0.27956989247311825,0.09403254972875226,0.01682192276386,5.589881195434482,xgboost__smote,xgboost,smote
top_10_percent,1106,90,0.4838709677419355,0.081374321880651,0.01682192276386,4.837397188356763,xgboost__smote,xgboost,smote
top_20_percent,2212,132,0.7096774193548387,0.059674502712477394,0.01682192276386,3.54742460479496,xgboost__smote,xgboost,smote
top_30_percent,3318,147,0.7903225806451613,0.04430379746835443,0.01682192276386,2.6336940247720158,xgboost__smote,xgboost,smote
