config_id,model,strategy,threshold,accuracy,precision,recall,f_meas
logistic_regression__none,logistic_regression,none,0.06999999999999999,0.950595789902096,0.105119825708061,0.26258503401360545,0.1501361338000778
decision_tree__none,decision_tree,none,0.01,0.016618807515770908,0.016618807515770908,1,0.03269427516569547
random_forest__none,random_forest,none,0.08,0.9540326045176024,0.10184049079754601,0.22585034013605443,0.14038054968287528
xgboost__none,xgboost,none,0.09,0.9596174282678002,0.11160384331116038,0.2054421768707483,0.1446360153256705
logistic_regression__smote,logistic_regression,smote,0.5,0.8987722431998553,0.08011669658886894,0.4857142857142857,0.13754575226353302
decision_tree__smote,decision_tree,smote,0.43,0.9024577746625364,0.08179481187193269,0.47619047619047616,0.13960909453530115
random_forest__smote,random_forest,smote,0.49,0.9059850317679246,0.08164263016377414,0.454421768707483,0.13841690841276422
xgboost__smote,xgboost,smote,0.48000000000000004,0.911547244895652,0.08513972316531732,0.4435374149659864,0.14285714285714285
