strategy,top_segment,n_observations,n_claims_captured,share_claims_captured,claim_rate_segment,baseline_claim_rate,lift,model
none,top_5_percent,553,61,0.3279569892473118,0.11030741410488246,0.01682192276386,6.5573606331058345,xgboost
none,top_10_percent,1106,100,0.5376344086021505,0.09041591320072331,0.01682192276386,5.374885764840848,xgboost
none,top_20_percent,2212,131,0.7043010752688172,0.05922242314647378,0.01682192276386,3.520550175970756,xgboost
smote_10,top_5_percent,553,58,0.3118279569892473,0.10488245931283906,0.01682192276386,6.234867487215384,xgboost
smote_10,top_10_percent,1106,92,0.4946236559139785,0.08318264014466546,0.01682192276386,4.94489490365358,xgboost
smote_10,top_20_percent,2212,135,0.7258064516129032,0.06103074141048825,0.01682192276386,3.6280478912675727,xgboost
smote_20,top_5_percent,553,55,0.2956989247311828,0.09945750452079566,0.01682192276386,5.912374341324933,xgboost
smote_20,top_10_percent,1106,90,0.4838709677419355,0.081374321880651,0.01682192276386,4.837397188356763,xgboost
smote_20,top_20_percent,2212,130,0.6989247311827957,0.05877034358047016,0.01682192276386,3.4936757471465514,xgboost
