model,model_variant,segment,n_observations,n_claims_captured,share_of_total_claims_captured,claim_rate_in_segment,baseline_claim_rate,lift
xgboost,xgboost_none,top_5_percent,553,57,0.3064516129032258,0.10307414104882459,0.01682192276386,6.127369771918567
xgboost,xgboost_none,top_10_percent,1106,99,0.532258064516129,0.08951175406871609,0.01682192276386,5.3211369071924395
xgboost,xgboost_none,top_20_percent,2212,129,0.6935483870967742,0.05831826401446655,0.01682192276386,3.4668013183223474
xgboost,xgboost_weighted,top_5_percent,553,62,0.3333333333333333,0.11211573236889692,0.01682192276386,6.664858348402651
xgboost,xgboost_weighted,top_10_percent,1106,99,0.532258064516129,0.08951175406871609,0.01682192276386,5.3211369071924395
xgboost,xgboost_weighted,top_20_percent,2212,129,0.6935483870967742,0.05831826401446655,0.01682192276386,3.4668013183223474
xgboost,xgboost_smote_light,top_5_percent,553,57,0.3064516129032258,0.10307414104882459,0.01682192276386,6.127369771918567
xgboost,xgboost_smote_light,top_10_percent,1106,97,0.521505376344086,0.08770343580470162,0.01682192276386,5.213639191895623
xgboost,xgboost_smote_light,top_20_percent,2212,128,0.6881720430107527,0.05786618444846293,0.01682192276386,3.439926889498143
random_forest,random_forest,top_5_percent,553,48,0.25806451612903225,0.0867992766726944,0.01682192276386,5.159890334247215
random_forest,random_forest,top_10_percent,1106,79,0.42473118279569894,0.07142857142857142,0.01682192276386,4.24615975422427
random_forest,random_forest,top_20_percent,2212,124,0.6666666666666666,0.05605786618444846,0.01682192276386,3.3324291742013257
