feature_group,mean_abs_shap
Agence,0.7940873755928162
Produit,0.37681657465844925
Net sales,0.3526590203056888
Durée du voyage,0.14318349042687487
Destination,0.051315644632749256
Âge,0.049462113158211314
Commission,0.03889310404460242
Genre,0.003487396710284663
Canal de distribution,0
