config_id,model,model_variant,status,reason,cv_roc_auc,cv_pr_auc,cv_threshold,cv_accuracy_at_threshold,cv_precision_at_threshold,cv_recall_at_threshold,cv_f1_at_threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,mtry,scale_pos_weight,smote_over_ratio,fit_path
xgboost_none_2,xgboost,xgboost_none,trained,NA,0.8109176541029361,0.08456218378643093,0.09999999999999999,0.9660614556718746,0.1324376199616123,0.18775510204081633,0.15531795160382666,150,3,0.03,0,15,0.8,16,1,NA,C:/Users/assal/OneDrive/Documents/New project/travel-insurance-ml-agent/models/tuning_xgboost_none_2_fit.rds
xgboost_weighted_6,xgboost,xgboost_weighted,trained,NA,0.8108512410758473,0.08579781484878082,0.01,0.9830420331471725,0.2222222222222222,0.00816326530612245,0.015748031496062995,200,4,0.05,0,10,0.7,16,25,NA,C:/Users/assal/OneDrive/Documents/New project/travel-insurance-ml-agent/models/tuning_xgboost_weighted_6_fit.rds
xgboost_smote_light_1,xgboost,xgboost_smote_light,trained,NA,0.8099678664807227,0.0785029848891245,0.31,0.926877246930608,0.09418642416368951,0.3945578231292517,0.15207131620346095,100,3,0.05,0,10,0.8,8,1,0.111,C:/Users/assal/OneDrive/Documents/New project/travel-insurance-ml-agent/models/tuning_xgboost_smote_light_1_fit.rds
random_forest_3,random_forest,random_forest,trained,NA,0.7697190381716928,0.06253515043815075,0.09999999999999999,0.9494426481561037,0.08786381109280615,0.21768707482993196,0.12519561815336464,200,NA,NA,NA,20,NA,21,NA,NA,C:/Users/assal/OneDrive/Documents/New project/travel-insurance-ml-agent/models/tuning_random_forest_3_fit.rds
