"approach","seed","train_prop","model","strategy","over_ratio","threshold","n_train","n_test","train_yes_rate","test_yes_rate","accuracy","precision","recall","f1","roc_auc","pr_auc","predicted_positive","false_positives","false_negatives","true_positives","true_negatives","rank"
"no_tariff",25,0.25,"xgboost","none",NA,0.08,13821,41463,0.015990159901599,0.0168825217663941,0.949255963147867,0.0942196531791907,0.232857142857143,0.134156378600823,0.796508405732089,0.0739273662974023,1730,1567,537,163,39196,1
"no_tariff",25,0.25,"xgboost","smote_10",0.111,0.21,13821,41463,0.015990159901599,0.0168825217663941,0.910233219979259,0.0251414204902577,0.114285714285714,0.0412158681092221,0.55692736059662,0.0238057149416786,3182,3102,620,80,37661,2
"no_tariff",25,0.25,"xgboost","smote_30",0.3,0.38,13821,41463,0.015990159901599,0.0168825217663941,0.921303330680366,0.0227188081936685,0.0871428571428571,0.0360413589364845,0.51942169194052,0.0204660946907236,2685,2624,639,61,38139,3
"no_tariff",25,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.015990159901599,0.0168825217663941,0.596628319224369,0.0183348361887586,0.435714285714286,0.0351889241419094,0.514343644972156,0.0177963062948784,16635,16330,395,305,24433,4
"full",26,0.25,"xgboost","none",NA,0.1,13821,41463,0.017220172201722,0.0164725176663531,0.961604321925572,0.096,0.158125915080527,0.119469026548673,0.801567763171595,0.0694680710552814,1125,1017,575,108,39763,1
"full",26,0.25,"xgboost","smote_30",0.3,0.3,13821,41463,0.017220172201722,0.0164725176663531,0.920917444468562,0.0521048999309869,0.22108345534407,0.0843339849204133,0.675298193283677,0.0337909443897456,2898,2747,532,151,38033,2
"full",26,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.017220172201722,0.0164725176663531,0.781274871572245,0.0284525416104363,0.370424597364568,0.052845953002611,0.622076122492796,0.0549584266422146,8892,8639,430,253,32141,3
"full",26,0.25,"xgboost","smote_20",0.25,0.17,13821,41463,0.017220172201722,0.0164725176663531,0.834141282589296,0.033021712907117,0.320644216691069,0.059876965140123,0.612127568059731,0.0219208012027239,6632,6413,464,219,34367,4
"no_tariff",26,0.25,"xgboost","none",NA,0.1,13821,41463,0.017220172201722,0.0164725176663531,0.962400212237416,0.0906542056074766,0.142020497803807,0.110667427267541,0.788277598541472,0.0644420523821825,1070,973,586,97,39807,1
"no_tariff",26,0.25,"xgboost","smote_20",0.25,0.16,13821,41463,0.017220172201722,0.0164725176663531,0.780503099148639,0.0255861136158702,0.332357247437775,0.0475143903715332,0.590250276992497,0.0322765469107998,8872,8645,456,227,32135,2
"no_tariff",26,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.017220172201722,0.0164725176663531,0.916238574150447,0.0306191117092867,0.133235724743777,0.0497948016415869,0.580738627510256,0.035002788141398,2972,2881,592,91,37899,3
"no_tariff",26,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.017220172201722,0.0164725176663531,0.569640402286376,0.0189493748948814,0.494875549048316,0.0365010799136069,0.530412699073772,0.0186050719605743,17837,17499,345,338,23281,4
"full",27,0.25,"xgboost","none",NA,0.12,13821,41463,0.0156283915780334,0.0170031112075827,0.972312664303114,0.136288998357964,0.117730496453901,0.126331811263318,0.806194354569559,0.0758692886391507,609,526,622,83,40232,1
"full",27,0.25,"xgboost","smote_20",0.25,0.47,13821,41463,0.0156283915780334,0.0170031112075827,0.873115789981429,0.0377435064935065,0.263829787234043,0.0660394106160128,0.661669640455218,0.0307503867074878,4928,4742,519,186,36016,2
"full",27,0.25,"xgboost","smote_10",0.111,0.31,13821,41463,0.0156283915780334,0.0170031112075827,0.94754359308299,0.0545454545454545,0.127659574468085,0.0764331210191083,0.658595675773872,0.0330031654146883,1650,1560,615,90,39198,3
"full",27,0.25,"xgboost","smote_30",0.3,0.49,13821,41463,0.0156283915780334,0.0170031112075827,0.834358343583436,0.0368254922591312,0.347517730496454,0.066594183201957,0.650233413690007,0.028561116767325,6653,6408,460,245,34350,4
"no_tariff",27,0.25,"xgboost","none",NA,0.09,13821,41463,0.0156283915780334,0.0170031112075827,0.959554301425367,0.106158833063209,0.185815602836879,0.135121196493038,0.790258693502803,0.0695579769583997,1234,1103,574,131,39655,1
"no_tariff",27,0.25,"xgboost","smote_30",0.3,0.26,13821,41463,0.0156283915780334,0.0170031112075827,0.935195234305284,0.0356138706654171,0.107801418439716,0.0535399788657978,0.567340597799362,0.0294499204814324,2134,2058,629,76,38700,2
"no_tariff",27,0.25,"xgboost","smote_20",0.25,0.19,13821,41463,0.0156283915780334,0.0170031112075827,0.945035332706268,0.0359669811320755,0.0865248226950355,0.0508121615993336,0.560748375030756,0.0274094968533117,1696,1635,644,61,39123,3
"no_tariff",27,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0156283915780334,0.0170031112075827,0.342666956081326,0.0167103538663172,0.651063829787234,0.0325843893089128,0.507104187699826,0.0254185556754628,27468,27009,246,459,13749,4
"full",28,0.25,"xgboost","none",NA,0.1,13821,41463,0.0173648795311483,0.0164242818898777,0.959385476207703,0.106048703849175,0.198237885462555,0.138178096212897,0.804880284275022,0.0780842528150098,1273,1138,546,135,39644,1
"full",28,0.25,"xgboost","smote_30",0.3,0.18,13821,41463,0.0173648795311483,0.0164242818898777,0.782577237537081,0.0212545955882353,0.271659324522761,0.0394246137453383,0.566778348917431,0.022695998586645,8704,8519,496,185,32263,2
"full",28,0.25,"xgboost","smote_20",0.25,0.42,13821,41463,0.0173648795311483,0.0164242818898777,0.418445360924197,0.0175821460923989,0.627019089574156,0.0342051507990547,0.514573836993387,0.0163124165617919,24286,23859,254,427,16923,3
"full",28,0.25,"xgboost","smote_10",0.111,0.33,13821,41463,0.0173648795311483,0.0164242818898777,0.355328847406121,0.017342968315731,0.687224669603524,0.0338321405335068,0.470163138109576,0.0143439553235072,26985,26517,213,468,14265,4
"no_tariff",28,0.25,"xgboost","none",NA,0.08,13821,41463,0.0173648795311483,0.0164242818898777,0.943371198417867,0.0888011840157869,0.26431718061674,0.132939438700148,0.785755225430931,0.0701100719803221,2027,1847,501,180,38935,1
"no_tariff",28,0.25,"xgboost","smote_20",0.25,0.26,13821,41463,0.0173648795311483,0.0164242818898777,0.882521766394134,0.0268744354110208,0.174743024963289,0.0465844587981993,0.524270806755824,0.0283454619895684,4428,4309,562,119,36473,2
"no_tariff",28,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0173648795311483,0.0164242818898777,0.934544051322866,0.0243331773514272,0.0763582966226138,0.0369056068133428,0.498554147474149,0.03884189710892,2137,2085,629,52,38697,3
"no_tariff",28,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0173648795311483,0.0164242818898777,0.768154740370933,0.0167712616316815,0.227606461086637,0.031240552252343,0.478886268314942,0.0290314286597745,9242,9087,526,155,31695,4
"full",29,0.25,"xgboost","none",NA,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.965897306031884,0.119198312236287,0.163294797687861,0.13780487804878,0.800330582502042,0.0761724741861261,948,835,579,113,39936,1
"full",29,0.25,"xgboost","smote_10",0.111,0.33,13821,41463,0.016568989219304,0.0166895786604925,0.960350191737211,0.051789077212806,0.0794797687861272,0.0627137970353478,0.645071113393389,0.0308820557071707,1062,1007,637,55,39764,2
"full",29,0.25,"xgboost","smote_20",0.25,0.36,13821,41463,0.016568989219304,0.0166895786604925,0.849480259508477,0.0279053939084567,0.236994219653179,0.049931496422591,0.640080387666457,0.0249777997001335,5877,5713,528,164,35058,3
"full",29,0.25,"xgboost","smote_30",0.3,0.3,13821,41463,0.016568989219304,0.0166895786604925,0.413694136941369,0.0173301724842639,0.61271676300578,0.0337069719373559,0.486530328779821,0.0166866005454817,24466,24042,268,424,16729,4
"no_tariff",29,0.25,"xgboost","none",NA,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.967561440320286,0.124280782508631,0.15606936416185,0.138372837924407,0.787333698595412,0.0718261369410405,869,761,584,108,40010,1
"no_tariff",29,0.25,"xgboost","smote_10",0.111,0.33,13821,41463,0.016568989219304,0.0166895786604925,0.908062610037865,0.0304033714629741,0.145953757225434,0.0503238664673642,0.546894784389278,0.0451082260870685,3322,3221,591,101,37550,2
"no_tariff",29,0.25,"xgboost","smote_20",0.25,0.22,13821,41463,0.016568989219304,0.0166895786604925,0.364855413260015,0.0175352775164628,0.673410404624277,0.0341805112406939,0.513356374522694,0.0184382899909172,26575,26109,226,466,14662,3
"no_tariff",29,0.25,"xgboost","smote_30",0.3,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.274123917709765,0.0179982296823263,0.793352601156069,0.0351979483891649,0.502010258765191,0.0178002835370623,30503,29954,143,549,10817,4
"full",30,0.25,"xgboost","none",NA,0.08,13821,41463,0.0167860502134433,0.0166172249957794,0.947302414200613,0.0908096280087527,0.240928882438316,0.131903059197457,0.805432070139463,0.0720464272044963,1828,1662,523,166,39112,1
"full",30,0.25,"xgboost","smote_10",0.111,0.36,13821,41463,0.0167860502134433,0.0166172249957794,0.107806960422545,0.0177983211135905,0.972423802612482,0.0349568257115279,0.650466680900198,0.0456991625426086,37644,36974,19,670,3800,2
"full",30,0.25,"xgboost","smote_30",0.3,0.29,13821,41463,0.0167860502134433,0.0166172249957794,0.951233629983359,0.077897403419886,0.178519593613933,0.108465608465608,0.632600472582666,0.0394421302388569,1579,1456,566,123,39318,3
"full",30,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0167860502134433,0.0166172249957794,0.712321829100644,0.0265397253349061,0.457184325108853,0.0501672240802676,0.564085080684403,0.0203124169591147,11869,11554,374,315,29220,4
"no_tariff",30,0.25,"xgboost","none",NA,0.07,13821,41463,0.0167860502134433,0.0166172249957794,0.940621759158768,0.0800568450971104,0.245283018867925,0.120714285714286,0.79005791632919,0.0654545168959533,2111,1942,520,169,38832,1
"no_tariff",30,0.25,"xgboost","smote_20",0.25,0.08,13821,41463,0.0167860502134433,0.0166172249957794,0.963316691990449,0.100767754318618,0.152394775036284,0.121317157712305,0.590648349217674,0.040101309558819,1042,937,584,105,39837,2
"no_tariff",30,0.25,"xgboost","smote_30",0.3,0.05,13821,41463,0.0167860502134433,0.0166172249957794,0.95994018763717,0.0613718411552347,0.0986937590711176,0.0756816917084029,0.581276572630201,0.0336290770717237,1108,1040,621,68,39734,3
"no_tariff",30,0.25,"xgboost","smote_10",0.111,0.17,13821,41463,0.0167860502134433,0.0166172249957794,0.966017895473072,0.0862068965517241,0.108853410740203,0.0962155227710071,0.550653811020897,0.0335072177674247,870,795,614,75,39979,4
"full",31,0.25,"xgboost","none",NA,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.965607891373031,0.12008281573499,0.167630057803468,0.139927623642943,0.80480593496766,0.0816982012772662,966,850,576,116,39921,1
"full",31,0.25,"xgboost","smote_30",0.3,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.951884812965777,0.0472550382209868,0.0982658959537572,0.0638198029094322,0.590560302765354,0.0529706753488767,1439,1371,624,68,39400,2
"full",31,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.016568989219304,0.0166895786604925,0.665243711260642,0.0221739130434783,0.442196531791907,0.0422301959701904,0.553012611111576,0.0190309271812154,13800,13494,386,306,27277,3
"full",31,0.25,"xgboost","smote_10",0.111,0.3,13821,41463,0.016568989219304,0.0166895786604925,0.708342377541422,0.0204425002103138,0.351156069364162,0.038635821607441,0.5379962530037,0.0180240679804287,11887,11644,449,243,29127,4
"no_tariff",31,0.25,"xgboost","none",NA,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.959916069748933,0.0998349834983498,0.17485549132948,0.127100840336134,0.787947996018365,0.0712504008893247,1212,1091,571,121,39680,1
"no_tariff",31,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.016568989219304,0.0166895786604925,0.0166895786604925,0.0166895786604925,1,0.0328312181235915,0.57639334203176,0.0441956054681783,41463,40771,0,692,0,2
"no_tariff",31,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.016568989219304,0.0166895786604925,0.658948942430601,0.0205347593582888,0.416184971098266,0.0391384113610111,0.538717733036757,0.0238662683145779,14025,13737,404,288,27034,3
"no_tariff",31,0.25,"xgboost","smote_20",0.25,0.01,13821,41463,0.016568989219304,0.0166895786604925,0.0166895786604925,0.0166895786604925,1,0.0328312181235915,0.512070732583216,0.0273709224561231,41463,40771,0,692,0,4
"full",32,0.25,"xgboost","none",NA,0.09,13821,41463,0.0163519282251646,0.0167619323252056,0.96109784627258,0.10969387755102,0.185611510791367,0.137894174238375,0.804224659911004,0.0773074639400122,1176,1047,566,129,39721,1
"full",32,0.25,"xgboost","smote_10",0.111,0.41,13821,41463,0.0163519282251646,0.0167619323252056,0.93734172635844,0.0374331550802139,0.110791366906475,0.0559593023255814,0.603314350089787,0.022388813397744,2057,1980,618,77,38788,2
"full",32,0.25,"xgboost","smote_30",0.3,0.13,13821,41463,0.0163519282251646,0.0167619323252056,0.639944046499288,0.0225412585536026,0.483453237410072,0.0430741619126979,0.57014224374033,0.0190486864218015,14906,14570,359,336,26198,3
"full",32,0.25,"xgboost","smote_20",0.25,0.16,13821,41463,0.0163519282251646,0.0167619323252056,0.453271591539445,0.0225534503737181,0.746762589928058,0.0437845362129329,0.555531881402257,0.0174197356532051,23012,22493,176,519,18275,4
"no_tariff",32,0.25,"xgboost","none",NA,0.07,13821,41463,0.0163519282251646,0.0167619323252056,0.946844174324096,0.0945728103170339,0.253237410071942,0.137715179968701,0.78643000434817,0.0712679999033987,1861,1685,519,176,39083,1
"no_tariff",32,0.25,"xgboost","smote_20",0.25,0.25,13821,41463,0.0163519282251646,0.0167619323252056,0.584689964546704,0.02076445681805,0.515107913669065,0.0399197145405888,0.554362393131021,0.0301659385282497,17241,16883,337,358,23885,2
"no_tariff",32,0.25,"xgboost","smote_10",0.111,0.37,13821,41463,0.0163519282251646,0.0167619323252056,0.757422280105154,0.0250583341787562,0.355395683453237,0.0468157695223654,0.53330454553155,0.0233667224207522,9857,9610,448,247,31158,3
"no_tariff",32,0.25,"xgboost","smote_30",0.3,0.2,13821,41463,0.0163519282251646,0.0167619323252056,0.924028652051226,0.0229304314030315,0.0848920863309353,0.0361077111383109,0.499141412929311,0.0333981166800107,2573,2514,636,59,38254,4
"full",33,0.25,"xgboost","none",NA,0.12,13821,41463,0.0173648795311483,0.0164242818898777,0.967899090755613,0.116745283018868,0.145374449339207,0.129496402877698,0.797485588463598,0.0742504891337994,848,749,582,99,40033,1
"full",33,0.25,"xgboost","smote_20",0.25,0.45,13821,41463,0.0173648795311483,0.0164242818898777,0.932011673057907,0.0323709536307962,0.108663729809104,0.0498820357263229,0.620057051313488,0.0244112391991338,2286,2212,607,74,38570,2
"full",33,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0173648795311483,0.0164242818898777,0.0283144007910667,0.01650390625,0.992657856093979,0.0324680002881775,0.597467923533971,0.0246256379120361,40960,40284,5,676,498,3
"full",33,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0173648795311483,0.0164242818898777,0.940862938041145,0.0216099405726634,0.0587371512481645,0.0315955766192733,0.559422252381507,0.0190964020569561,1851,1811,641,40,38971,4
"no_tariff",33,0.25,"xgboost","none",NA,0.08,13821,41463,0.0173648795311483,0.0164242818898777,0.934544051322866,0.082203041512536,0.293685756240822,0.128452151573539,0.785227689996832,0.0682750666023275,2433,2233,481,200,38549,1
"no_tariff",33,0.25,"xgboost","smote_30",0.3,0.16,13821,41463,0.0173648795311483,0.0164242818898777,0.821648216482165,0.0279808773903262,0.292217327459618,0.0510714744001027,0.607109838919318,0.0369480697675348,7112,6913,482,199,33869,2
"no_tariff",33,0.25,"xgboost","smote_20",0.25,0.44,13821,41463,0.0173648795311483,0.0164242818898777,0.931239900634301,0.0355308219178082,0.121879588839941,0.0550215445807093,0.603382794416154,0.0366985864881742,2336,2253,598,83,38529,3
"no_tariff",33,0.25,"xgboost","smote_10",0.111,0.48,13821,41463,0.0173648795311483,0.0164242818898777,0.0633576924004534,0.0168173644353266,0.97503671071953,0.033064435813166,0.593754003504613,0.0457407165540009,39483,38819,17,664,1963,4
"full",34,0.25,"xgboost","none",NA,0.11,13821,41463,0.0171478185370089,0.0164966355545908,0.96751320454381,0.116763005780347,0.14766081871345,0.130406714009038,0.805951374037405,0.0841037401096611,865,764,583,101,40015,1
"full",34,0.25,"xgboost","smote_10",0.111,0.3,13821,41463,0.0171478185370089,0.0164966355545908,0.921303330680366,0.0366510959396335,0.149122807017544,0.0588404961061436,0.649767130169195,0.0280961429959114,2783,2681,582,102,38098,2
"full",34,0.25,"xgboost","smote_30",0.3,0.31,13821,41463,0.0171478185370089,0.0164966355545908,0.883269420929503,0.0300768882858435,0.194444444444444,0.0520955738347043,0.579254239332279,0.0216393776717357,4422,4289,551,133,36490,3
"full",34,0.25,"xgboost","smote_20",0.25,0.25,13821,41463,0.0171478185370089,0.0164966355545908,0.884306490123725,0.029512697323267,0.18859649122807,0.0510385756676558,0.50337222790827,0.0179033180354985,4371,4242,555,129,36537,4
"no_tariff",34,0.25,"xgboost","none",NA,0.1,13821,41463,0.0171478185370089,0.0164966355545908,0.964016110749343,0.101577909270217,0.150584795321637,0.121319199057715,0.793597592586139,0.0725447360491014,1014,911,581,103,39868,1
"no_tariff",34,0.25,"xgboost","smote_10",0.111,0.16,13821,41463,0.0171478185370089,0.0164966355545908,0.874249330728601,0.0291060291060291,0.204678362573099,0.0509646887513651,0.493242404608839,0.0188444148320273,4810,4670,544,140,36109,2
"no_tariff",34,0.25,"xgboost","smote_20",0.25,0.01,13821,41463,0.0171478185370089,0.0164966355545908,0.0164966355545908,0.0164966355545908,1,0.0324578261797993,0.456713221990048,0.0162357162656132,41463,40779,0,684,0,3
"no_tariff",34,0.25,"xgboost","smote_30",0.3,0.01,13821,41463,0.0171478185370089,0.0164966355545908,0.0164966355545908,0.0164966355545908,1,0.0324578261797993,0.454178126598529,0.0167589374233286,41463,40779,0,684,0,4
"full",35,0.25,"xgboost","none",NA,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.960253720184261,0.106907894736842,0.187861271676301,0.136268343815514,0.79876452547664,0.0771300623865659,1216,1086,562,130,39685,1
"full",35,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.016568989219304,0.0166895786604925,0.0926126908327907,0.0175823601640672,0.972543352601156,0.034540275603685,0.668938490225187,0.0324249522916292,38277,37604,19,673,3167,2
"full",35,0.25,"xgboost","smote_20",0.25,0.28,13821,41463,0.016568989219304,0.0166895786604925,0.588066468899983,0.0222714552238806,0.552023121387283,0.0428155122169917,0.583082578955375,0.0202299055742766,17152,16770,310,382,24001,3
"full",35,0.25,"xgboost","smote_30",0.3,0.43,13821,41463,0.016568989219304,0.0166895786604925,0.558594409473506,0.0192202686469368,0.508670520231214,0.0370409344417552,0.548231270724984,0.0173360131717327,18314,17962,340,352,22809,4
"no_tariff",35,0.25,"xgboost","none",NA,0.09,13821,41463,0.016568989219304,0.0166895786604925,0.955623085642621,0.0952045133991537,0.195086705202312,0.127962085308057,0.784820188411717,0.0688047991417031,1418,1283,557,135,39488,1
"no_tariff",35,0.25,"xgboost","smote_10",0.111,0.08,13821,41463,0.016568989219304,0.0166895786604925,0.891059498830282,0.0281273131014064,0.164739884393064,0.0480505795574289,0.548820934578485,0.0288464546344276,4053,3939,578,114,36832,2
"no_tariff",35,0.25,"xgboost","smote_20",0.25,0.16,13821,41463,0.016568989219304,0.0166895786604925,0.928852229698768,0.0264261744966443,0.0910404624277457,0.040962288686606,0.516407197794307,0.020208163878086,2384,2321,629,63,38450,3
"no_tariff",35,0.25,"xgboost","smote_30",0.3,0.01,13821,41463,0.016568989219304,0.0166895786604925,0.0166895786604925,0.0166895786604925,1,0.0328312181235915,0.500095220265226,0.0217526524400457,41463,40771,0,692,0,4
"full",36,0.25,"xgboost","none",NA,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.968526155849794,0.117353308364544,0.135838150289017,0.125920964501005,0.816449408035832,0.0803923009724456,801,707,598,94,40064,1
"full",36,0.25,"xgboost","smote_20",0.25,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.953307768371801,0.0538020086083214,0.108381502890173,0.0719079578139981,0.600491370594791,0.0248048790238443,1394,1319,617,75,39452,2
"full",36,0.25,"xgboost","smote_10",0.111,0.03,13821,41463,0.016568989219304,0.0166895786604925,0.688565709186504,0.0242896068509148,0.450867052023121,0.0460958853512595,0.586337417803627,0.0202424674349118,12845,12533,380,312,28238,3
"full",36,0.25,"xgboost","smote_30",0.3,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.350239972987965,0.0174638773484319,0.686416184971098,0.0340611666845936,0.467057545294223,0.0142518264715292,27199,26724,217,475,14047,4
"no_tariff",36,0.25,"xgboost","none",NA,0.06,13821,41463,0.016568989219304,0.0166895786604925,0.938692328099752,0.0881567230632235,0.286127167630058,0.134785568413887,0.802257494736923,0.0756999239820166,2246,2048,494,198,38723,1
"no_tariff",36,0.25,"xgboost","smote_10",0.111,0.16,13821,41463,0.016568989219304,0.0166895786604925,0.903142560837373,0.0221391604370328,0.111271676300578,0.0369304556354916,0.503941849606068,0.0185836282878631,3478,3401,615,77,37370,2
"no_tariff",36,0.25,"xgboost","smote_20",0.25,0.44,13821,41463,0.016568989219304,0.0166895786604925,0.334490991968743,0.0175740621189298,0.708092485549133,0.034296913277805,0.49817731080249,0.0199197461136253,27882,27392,202,490,13379,3
"no_tariff",36,0.25,"xgboost","smote_30",0.3,0.13,13821,41463,0.016568989219304,0.0166895786604925,0.956539565395654,0.0264505119453925,0.0447976878612717,0.0332618025751073,0.485036205321617,0.0167053033195321,1172,1141,661,31,39630,4
"full",37,0.25,"xgboost","none",NA,0.09,13821,41463,0.0171478185370089,0.0164966355545908,0.958782529001761,0.110266159695817,0.211988304093567,0.145072536268134,0.794557211751433,0.0754466419622878,1315,1170,539,145,39609,1
"full",37,0.25,"xgboost","smote_20",0.25,0.49,13821,41463,0.0171478185370089,0.0164966355545908,0.942261775558932,0.0398277717976319,0.108187134502924,0.0582218725413061,0.648188391456502,0.0276558134245239,1858,1784,610,74,38995,2
"full",37,0.25,"xgboost","smote_30",0.3,0.48,13821,41463,0.0171478185370089,0.0164966355545908,0.744302148903842,0.031728045325779,0.491228070175439,0.0596061734965407,0.629602436267148,0.0268665037649707,10590,10254,348,336,30525,3
"full",37,0.25,"xgboost","smote_10",0.111,0.25,13821,41463,0.0171478185370089,0.0164966355545908,0.960880785278441,0.030060120240481,0.043859649122807,0.0356718192627824,0.608080046073479,0.024098478309071,998,968,654,30,39811,4
"no_tariff",37,0.25,"xgboost","none",NA,0.08,13821,41463,0.0171478185370089,0.0164966355545908,0.946988881653522,0.0916936353829558,0.248538011695906,0.133963750985028,0.775949225815546,0.0670266799016104,1854,1684,514,170,39095,1
"no_tariff",37,0.25,"xgboost","smote_10",0.111,0.07,13821,41463,0.0171478185370089,0.0164966355545908,0.735499119697079,0.0251223792370925,0.39766081871345,0.0472591434280254,0.554205011638114,0.0371855891539824,10827,10555,412,272,30224,2
"no_tariff",37,0.25,"xgboost","smote_20",0.25,0.08,13821,41463,0.0171478185370089,0.0164966355545908,0.88025468489979,0.0214621059691482,0.140350877192982,0.0372309482257126,0.543494322341407,0.0217262649140492,4473,4377,588,96,36402,3
"no_tariff",37,0.25,"xgboost","smote_30",0.3,0.43,13821,41463,0.0171478185370089,0.0164966355545908,0.564672117309408,0.0187340649595389,0.494152046783626,0.0360995407454876,0.522743474345886,0.0188615419217784,18042,17704,346,338,23075,4
"full",38,0.25,"xgboost","none",NA,0.1,13821,41463,0.016568989219304,0.0166895786604925,0.963244338325736,0.112662942271881,0.17485549132948,0.137032842582106,0.804132268870129,0.0774980504535543,1074,953,571,121,39818,1
"full",38,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.016568989219304,0.0166895786604925,0.701613486723103,0.0268189920596338,0.478323699421965,0.0507902409083934,0.628715397987037,0.0250628471298738,12342,12011,361,331,28760,2
"full",38,0.25,"xgboost","smote_10",0.111,0.35,13821,41463,0.016568989219304,0.0166895786604925,0.852277934544051,0.0302611101504409,0.252890173410405,0.0540540540540541,0.624352438397291,0.0237325253262348,5783,5608,517,175,35163,3
"full",38,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.016568989219304,0.0166895786604925,0.876419940669995,0.0373695198329854,0.258670520231214,0.0653046333454943,0.608676166457996,0.02940035194672,4790,4611,513,179,36160,4
"no_tariff",38,0.25,"xgboost","none",NA,0.11,13821,41463,0.016568989219304,0.0166895786604925,0.972047367532499,0.117839607201309,0.104046242774566,0.110514198004605,0.793294721128854,0.0706806159251863,611,539,620,72,40232,1
"no_tariff",38,0.25,"xgboost","smote_10",0.111,0.41,13821,41463,0.016568989219304,0.0166895786604925,0.785447266237368,0.0243506493506494,0.303468208092486,0.0450837269214255,0.552624552643746,0.0233217644373622,8624,8414,482,210,32357,2
"no_tariff",38,0.25,"xgboost","smote_30",0.3,0.39,13821,41463,0.016568989219304,0.0166895786604925,0.810288691122205,0.0276534105873058,0.303468208092486,0.0506879073135409,0.542946785251843,0.0239060591916036,7594,7384,482,210,33387,3
"no_tariff",38,0.25,"xgboost","smote_20",0.25,0.46,13821,41463,0.016568989219304,0.0166895786604925,0.871089887369462,0.0241358150951115,0.170520231213873,0.0422863286149436,0.516188419797989,0.0187859956663149,4889,4771,574,118,36000,4
"full",39,0.25,"xgboost","none",NA,0.1,13821,41463,0.0164966355545908,0.0167136965487302,0.963847285531679,0.107212475633528,0.158730158730159,0.127981384525887,0.807531019929843,0.0777035791187424,1026,916,583,110,39854,1
"full",39,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0164966355545908,0.0167136965487302,0.820683500952657,0.0369505494505495,0.388167388167388,0.0674777373636022,0.67921994746866,0.0380596694875132,7280,7011,424,269,33759,2
"full",39,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0164966355545908,0.0167136965487302,0.73738031497962,0.0309164519690835,0.484848484848485,0.0581264596488193,0.671860162294305,0.0551941478495195,10868,10532,357,336,30238,3
"full",39,0.25,"xgboost","smote_30",0.3,0.32,13821,41463,0.0164966355545908,0.0167136965487302,0.568386272098015,0.0220061128091136,0.571428571428571,0.0423801369863014,0.544152499450513,0.0174700144281387,17995,17599,297,396,23171,4
"no_tariff",39,0.25,"xgboost","none",NA,0.09,13821,41463,0.0164966355545908,0.0167136965487302,0.961483732484384,0.112349914236707,0.189033189033189,0.140935987089833,0.79719327901815,0.078118006567196,1166,1035,562,131,39735,1
"no_tariff",39,0.25,"xgboost","smote_20",0.25,0.01,13821,41463,0.0164966355545908,0.0167136965487302,0.0167136965487302,0.0167136965487302,1,0.0328778821520068,0.618098342123361,0.0462992073748514,41463,40770,0,693,0,2
"no_tariff",39,0.25,"xgboost","smote_30",0.3,0.24,13821,41463,0.0164966355545908,0.0167136965487302,0.889178303547741,0.0330301579703207,0.199134199134199,0.0566618764114145,0.606890305345052,0.0438902382746461,4178,4040,555,138,36730,3
"no_tariff",39,0.25,"xgboost","smote_10",0.111,0.01,13821,41463,0.0164966355545908,0.0167136965487302,0.0167136965487302,0.0167136965487302,1,0.0328778821520068,0.604283452627823,0.0393861186022026,41463,40770,0,693,0,4
"full",40,0.25,"xgboost","none",NA,0.1,13821,41463,0.0155560379133203,0.0170272290958204,0.965463184043605,0.116279069767442,0.155807365439093,0.13317191283293,0.803869993378151,0.0799551462399809,946,836,596,110,39921,1
"full",40,0.25,"xgboost","smote_20",0.25,0.43,13821,41463,0.0155560379133203,0.0170272290958204,0.926874562863276,0.0417651694247439,0.15014164305949,0.0653514180024661,0.610179043610993,0.0305089697019546,2538,2432,600,106,38325,2
