config_id,model,strategy,B,metric,n_success,mean,sd,q025,median,q975
xgboost__none,xgboost,none,100,accuracy,100,0.9496282897711856,0.005535039420305873,0.9396717011847697,0.950167314823189,0.9591254408971692
xgboost__none,xgboost,none,100,f_meas,100,0.15947847409230914,0.010222990209924829,0.13860050902944404,0.15942338319076627,0.18013445669109585
xgboost__none,xgboost,none,100,pr_auc,100,0.09025784844341567,0.005577271166926568,0.07950609723011276,0.09031262989731303,0.09953235520929635
xgboost__none,xgboost,none,100,precision,100,0.11161903562089112,0.009223963914676597,0.09706587194297653,0.11059579730864366,0.12989607057776378
xgboost__none,xgboost,none,100,recall,100,0.28376344086021504,0.03305008643502571,0.22580645161290322,0.2849462365591398,0.3415322580645161
xgboost__none,xgboost,none,100,roc_auc,100,0.8233493817525764,0.00459552205215992,0.8147928406246074,0.8234373439050131,0.8317743616982343
