.threshold,specificity,sensitivity
-Inf,0,1
0.008481919765472412,0,1
0.008714854717254639,1.8397571520556433e-4,1
0.00887387990951538,2.759635728083465e-4,1
0.00890129804611206,3.679514304112397e-4,1
0.0090104341506958,4.5993928801402184e-4,1
0.009100794792175293,5.51927145616804e-4,1
0.009318888187408447,7.359028608223683e-4,1
0.009555041790008545,9.198785760279327e-4,1
0.009641468524932861,0.0011958421488363902,1
0.009690821170806885,0.0012878300064391723,1
0.009746372699737549,0.0013798178640419545,1
0.009768784046173096,0.0014718057216447367,1
0.009860455989837646,0.0015637935792475188,1
0.009934306144714355,0.001655781436850301,1
0.009934425354003906,0.0018397571520559763,1
0.00999903678894043,0.0019317450096587585,1
0.010083973407745361,0.002115720724864323,1
0.010186254978179932,0.002299696440069887,1
0.010187923908233643,0.0023916842976726693,1
0.010366678237915039,0.0034955385889062773,1
0.010367751121520996,0.003863490019317406,1
0.01043158769607544,0.008738846472265638,1
0.010580778121948242,0.009014810045074095,1
0.010615527629852295,0.00919878576027966,1
0.010617196559906006,0.009566737190690788,1
0.010682165622711182,0.01002667647870481,1
0.01078099012374878,0.010118664336307592,1
0.01086050271987915,0.013430227210008305,1
0.010906457901000977,0.01361420292521387,1
0.01091146469116211,0.01398215435562511,1
0.011002421379089355,0.014074142213227891,1
0.011004209518432617,0.015177996504461388,1
0.011040329933166504,0.01526998436206417,1
0.011093497276306152,0.015361972219666953,1
0.011117517948150635,0.015729923650078192,1
0.01112288236618042,0.015913899365283757,1
0.011178731918334961,0.01600588722288654,1
0.01118767261505127,0.01609787508048932,1
0.011209726333618164,0.01637383865329778,1
0.011216461658477783,0.01646582651090056,1
0.011313557624816895,0.016741790083708907,1
0.011338949203491211,0.01729371722932571,1
0.011394679546356201,0.017477692944531276,1
0.011478900909423828,0.01766166865973695,1
0.011479556560516357,0.017845644374942515,1
0.011545062065124512,0.017937632232545297,1
0.011629939079284668,0.01802962009014808,1
0.011631250381469727,0.018121607947750862,1
0.011661827564239502,0.018305583662956537,1
0.011764109134674072,0.01839757152055932,1
0.011810302734375,0.01885751080857323,1
0.01187443733215332,0.020605280103026424,1
0.01190096139907837,0.021065219391040335,1
0.01192551851272583,0.02115720724864323,1
0.012044131755828857,0.021341182963848793,1
0.012051105499267578,0.021433170821451575,1
0.01210474967956543,0.021525158679054357,1
0.012235820293426514,0.02161714653665714,1
0.012238860130310059,0.023180940115904658,1
0.012244641780853271,0.023364915831110333,1
0.012256741523742676,0.023456903688713115,1
0.01228034496307373,0.02364087940391868,1
0.012294471263885498,0.023732867261521462,1
0.01232898235321045,0.023824855119124244,1
0.012345850467681885,0.02400883083432992,1
0.012376070022583008,0.0241008186919327,1
0.012414097785949707,0.024192806549535484,1
0.012434065341949463,0.024744733695152288,1
0.01247549057006836,0.02640051513200259,1
0.012541651725769043,0.02888418728727804,1
0.012596964836120605,0.028976175144880822,1
0.012635767459869385,0.029068163002483716,1
0.01273268461227417,0.02925213871768928,1
0.012743949890136719,0.029344126575292062,1
0.012782871723175049,0.029712078005703302,1
0.012799978256225586,0.029804065863306084,1
0.012808680534362793,0.030172017293717213,1
0.012889981269836426,0.030264005151319995,1
0.012907862663269043,0.030355993008922777,1
0.012935400009155273,0.03090792015453958,1
0.012990474700927734,0.03256370159138988,0.9946236559139785
0.013002872467041016,0.03412749517063751,0.9946236559139785
0.013049781322479248,0.03449544660104864,0.9946236559139785
0.013049900531768799,0.034679422316254205,0.9946236559139785
