model,strategy,config_id,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,lift_top_10,claims_captured_top_10,lift_top_20,claims_captured_top_20,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,hyperparameters
xgboost,none_current_champion,xgboost__none_current,0.08,0.9503481957131229,0.11464968152866242,0.2903225806451613,0.1643835616438356,0.8302608894335625,0.10150588515700701,5.374885764840848,0.5376344086021505,3.520550175970756,0.7043010752688172,471,417,132,54,10454,Modèle champion existant
catboost,none,catboost_none_1,0.060000000000000005,0.9389526996472822,0.09983633387888707,0.3279569892473118,0.15307402760351316,0.8026984094013568,0.0905343026860529,4.94489490365358,0.4946236559139785,3.386178031849734,0.6774193548387096,611,550,125,61,10321,iterations=100; depth=4; learning_rate=0.05; l2_leaf_reg=3; border_count=128; class_weight_yes=1
catboost,smote,catboost_smote_3,0.28,0.9262005969069368,0.09407216494845361,0.3924731182795699,0.15176715176715178,0.8259666390703094,0.08424904181161853,5.3211369071924395,0.532258064516129,3.520550175970756,0.7043010752688172,776,703,113,73,10168,iterations=100; depth=4; learning_rate=0.05; l2_leaf_reg=3; border_count=128; class_weight_yes=1
catboost,weighted,catboost_weighted_6,0.5,0.8298815230170933,0.06426735218508997,0.6720430107526881,0.11731581417175035,0.8254424071936483,0.08724772341451648,4.94489490365358,0.4946236559139785,3.6011734624433682,0.7204301075268817,1945,1820,61,125,9051,iterations=100; depth=4; learning_rate=0.05; l2_leaf_reg=3; border_count=128; class_weight_yes=59.1728
